id,text,label,annotator1,annotator2,agree
451,"Theo ý kiến cá nhân tôi, tài liệu học tập quá ít, không đáp ứng được nhu cầu học tập của sinh viên.",0,0,1,False
524,"Qua quá trình học, môn học cung cấp nền tảng vững chắc cho việc học các môn chuyên sâu sau này Tôi đã học được nhiều điều từ trải nghiệm này.",2,2,2,True
1417,"Nhìn chung, phương pháp giảng dạy của thầy rất hiệu quả, kết hợp tốt lý thuyết và thực hành Tôi sẽ giới thiệu cho bạn bè.",2,2,2,True
605,"Theo tôi, thầy giảng được nhưng cần thêm thời gian để sinh viên thực hành và củng cố kiến thức Hy vọng môn học sẽ tốt hơn trong tương lai.",1,1,0,False
1493,"Trong học kỳ vừa qua, giáo viên thường xuyên đến muộn và rút ngắn thời gian giảng dạy.",0,0,0,True
1540,"Qua quá trình học, tôi học được kiến thức từ môn này nhưng chưa thấy rõ ứng dụng thực tế Tôi đã học được nhiều điều từ trải nghiệm này.",1,1,1,True
544,"Theo tôi, cô dạy ổn, sinh viên học được kiến thức cơ bản nhưng chưa thật sự ấn tượng Hy vọng môn học sẽ tốt hơn trong tương lai.",1,1,1,True
1820,"Theo ý kiến cá nhân tôi, thầy có thể cải thiện việc tương tác với sinh viên nhiều hơn trong lớp học Hy vọng môn học sẽ tốt hơn trong tương lai.",1,1,1,True
1451,"Nhìn chung, môn học này là lãng phí các nguồn lực của cả sinh viên lẫn nhà trường.",0,0,1,False
1442,"Sau khi hoàn thành môn học, chất lượng giảng dạy quá thấp so với học phí mà sinh viên phải đóng.",0,0,0,True
625,"Sau khi hoàn thành môn học, môn học tạo được hứng thú ở một số chủ đề nhưng lại nhàm với một số chủ đề khác Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",1,1,1,True
1026,"Sau khi hoàn thành môn học, cô giáo tạo ra áp lực không cần thiết mà không hề hỗ trợ sinh viên vượt qua Mong thầy cô tiếp tục phát huy.",0,0,0,True
674,"Trong học kỳ vừa qua, bài kiểm tra quá khó so với nội dung được dạy, không phản ánh đúng kiến thức học.",0,0,0,True
69,"Nhìn chung, bài tập vừa phải, không quá khó cũng không quá dễ, phù hợp với nội dung học.",1,1,1,True
2001,"Qua quá trình học, thầy dạy không có tâm, rõ ràng chỉ đến cho có mà không quan tâm đến việc giảng.",0,0,0,True
630,"Trong học kỳ vừa qua, giáo viên giảng đủ giờ và đúng lịch, nội dung bám sát đề cương đã đề ra Hy vọng môn học sẽ tốt hơn trong tương lai.",1,1,1,True
253,"Qua quá trình học, môn học không có liên kết gì với thực tế, kiến thức học xong cũng không biết dùng vào đâu Tôi sẽ giới thiệu cho bạn bè.",0,0,0,True
707,"Theo ý kiến cá nhân tôi, cô không tôn trọng thời gian của sinh viên, thường bắt đầu muộn và kết thúc sớm.",0,0,0,True
1283,"Theo ý kiến cá nhân tôi, thầy giảng được nhưng đôi khi thiếu ví dụ minh họa để làm rõ khái niệm Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",1,1,1,True
313,"Theo ý kiến cá nhân tôi, bài tập và dự án thực tế giúp tôi áp dụng kiến thức một cách hiệu quả.",2,2,2,True
576,Tôi nghĩ rằng môn học cần được xem xét và cải tổ triệt để để xứng đáng với chương trình đào tạo Tôi sẽ giới thiệu cho bạn bè.,0,0,0,True
582,"Qua quá trình học, nội dung môn học phù hợp với mục tiêu của khóa học, không có gì cần than phiền nhiều.",1,1,1,True
407,"Sau khi hoàn thành môn học, tôi thực sự thất vọng với chất lượng giảng dạy của môn học này Tôi đã học được nhiều điều từ trải nghiệm này.",0,0,0,True
1407,"Theo ý kiến cá nhân tôi, bài giảng của cô luôn sinh động, kết hợp nhiều phương pháp giúp sinh viên không chán Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",2,2,2,True
1605,"Trong học kỳ vừa qua, nội dung môn học quá khó so với trình độ của sinh viên mà thiếu cơ sở tiền đề.",0,0,0,True
570,"Qua quá trình học, thầy có vẻ am hiểu chuyên môn, nhưng chưa biết cách làm bài giảng sống động Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",1,1,2,False
709,"Tôi nghĩ rằng tôi rất hài lòng với khóa học này, mọi thứ đều được tổ chức rất tốt.",2,2,1,False
558,Cô tạo ra một lớp học tích cực nơi mọi sinh viên đều cảm thấy được tôn trọng Hy vọng môn học sẽ tốt hơn trong tương lai.,2,2,2,True
440,"Tôi nghĩ rằng giáo viên rất nhiệt tình, tài liệu học tập phong phú và chất lượng.",2,2,2,True
767,"Nhìn chung là được, không có gì đặc biệt nổi bật nhưng cũng không có vấn đề lớn Tôi sẽ giới thiệu cho bạn bè.",1,1,1,True
2015,"Theo ý kiến cá nhân tôi, giáo viên có kiến thức rộng và sâu, trả lời mọi câu hỏi của sinh viên thấu đáo Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",2,2,2,True
2034,"Tôi nghĩ rằng thầy không có kinh nghiệm thực tế, toàn bộ bài giảng chỉ là lý thuyết suông.",0,0,0,True
718,"Qua quá trình học, thầy có khả năng truyền đạt kiến thức phức tạp một cách đơn giản và dễ hiểu Tôi sẽ giới thiệu cho bạn bè.",2,2,2,True
1200,"Qua quá trình học, môn học giúp tôi phát triển tư duy và kỹ năng giải quyết vấn đề hiệu quả Hy vọng môn học sẽ tốt hơn trong tương lai.",2,2,2,True
360,"Nhìn chung, môn học này không làm tôi hứng thú lắm nhưng cũng không đến mức ghét Hy vọng môn học sẽ tốt hơn trong tương lai.",1,1,1,True
1169,"Môn học rất bổ ích, tôi học được nhiều kiến thức có thể áp dụng vào thực tế Hy vọng môn học sẽ tốt hơn trong tương lai.",2,2,2,True
217,"Qua quá trình học, nội dung sinh động và phong phú, thầy luôn bổ sung ví dụ từ thực tế nghề nghiệp.",2,2,2,True
52,"Phòng học không đủ điều kiện, thiết bị hỏng mà không được sửa chữa Tôi sẽ giới thiệu cho bạn bè.",0,0,0,True
1167,Phong cách giảng dạy linh hoạt của thầy giúp tôi học tốt hơn và yêu thích môn học Tôi đã học được nhiều điều từ trải nghiệm này.,2,2,2,True
1810,Môn học có những điểm tốt và những điểm cần được xem xét lại và cải thiện.,1,1,1,True
1628,"Sau khi hoàn thành môn học, tôi cực kỳ thất vọng và không khuyến nghị bất kỳ ai đăng ký môn này.",0,0,0,True
1513,"Nhìn chung, môn học giúp tôi hiểu rõ hơn về lĩnh vực chuyên ngành và định hướng tương lai Tôi sẽ giới thiệu cho bạn bè.",2,2,2,True
382,"Tôi nghĩ rằng môn học có cấu trúc rõ ràng, lịch học được tuân thủ, không có vấn đề gì đặc biệt Tôi đã học được nhiều điều từ trải nghiệm này.",1,1,1,True
1104,"Qua quá trình học, bài giảng của cô luôn sinh động, kết hợp nhiều phương pháp giúp sinh viên không chán Mong thầy cô tiếp tục phát huy.",2,2,2,True
1842,"Theo tôi, nội dung được trình bày rõ ràng, có cấu trúc hợp lý và dễ theo dõi Tôi đã học được nhiều điều từ trải nghiệm này.",2,2,1,False
292,"Giáo viên giảng đủ giờ và đúng lịch, nội dung bám sát đề cương đã đề ra.",1,1,1,True
1116,"Theo tôi, giảng dạy quá máy móc và theo khuôn mẫu, thiếu sự linh hoạt và sáng tạo Tôi đã học được nhiều điều từ trải nghiệm này.",0,0,0,True
2040,"Môn học vừa phải, đáp ứng mục tiêu cơ bản của chương trình học Hy vọng môn học sẽ tốt hơn trong tương lai.",1,1,1,True
1086,"Theo tôi, cô giáo rất chuyên nghiệp, bài giảng logic và nhất quán từ đầu đến cuối.",2,2,2,True
392,"Qua quá trình học, giáo viên thiếu kỹ năng sư phạm, không biết cách truyền đạt kiến thức hiệu quả.",0,0,2,False
111,"Theo tôi, thầy có kinh nghiệm thực tế phong phú, chia sẻ nhiều câu chuyện thực tế hữu ích.",2,2,2,True
1079,Môn học này cung cấp đủ kiến thức nhưng cần thêm bài tập phong phú hơn.,1,1,1,True
9,"Cô giáo không có sự chuẩn bị, nhiều buổi học không có nội dung gì có giá trị Tôi sẽ giới thiệu cho bạn bè.",0,0,0,True
309,"Môn học có chất lượng trung bình, không quá tốt cũng không quá kém.",1,1,1,True
680,Thầy có kiến thức chuyên môn tốt nhưng đôi khi phong cách giảng dạy chưa thu hút.,1,1,1,True
26,"Theo ý kiến cá nhân tôi, bài kiểm tra phản ánh được phần lớn nội dung học, tuy rằng vẫn có điểm chưa cân đối Tôi sẽ giới thiệu cho bạn bè.",1,1,1,True
1652,"Sau khi hoàn thành môn học, đây là một môn học tuyệt vời với nội dung phong phú và giáo viên tâm huyết.",2,2,2,True
581,"Trong học kỳ vừa qua, cô luôn cố gắng làm cho bài học trở nên thú vị và dễ nhớ bằng nhiều phương pháp Tôi đã học được nhiều điều từ trải nghiệm này.",2,2,0,False
2,"Giáo viên rất nhiệt tình, tài liệu học tập phong phú và chất lượng Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",2,2,2,True
350,"Trong học kỳ vừa qua, phương pháp đánh giá không phù hợp, tập trung quá nhiều vào học thuộc lòng.",0,0,0,True
1836,"Sinh viên học được rất nhiều kiến thức bổ ích, cảm ơn thầy đã tận tình giảng dạy Tôi sẽ giới thiệu cho bạn bè.",2,2,2,True
1376,Tôi phải tự học hầu hết nội dung vì bài giảng không cung cấp đủ thông tin Mong thầy cô tiếp tục phát huy.,0,0,0,True
810,"Trong học kỳ vừa qua, tôi cực kỳ hài lòng với môn học này và cảm thấy mình đã đầu tư đúng chỗ.",2,2,2,True
1296,"Theo ý kiến cá nhân tôi, bài giảng đủ thông tin cơ bản, không xuất sắc nhưng cũng không tệ.",1,1,1,True
1114,"Theo tôi, bài giảng của cô luôn sinh động, kết hợp nhiều phương pháp giúp sinh viên không chán.",2,2,2,True
967,"Cô giáo quan tâm đến sinh viên ở một mức độ vừa phải, không quá nhiều không ít Mong thầy cô tiếp tục phát huy.",1,1,1,True
954,"Sau khi hoàn thành môn học, môn học phù hợp cho việc tạo nền tảng, nhưng cần làm sâu hơn ở nhiều chỗ.",1,1,1,True
1295,"Theo tôi, môn học có quá nhiều lý thuyết mà không có thực hành, sinh viên không tiếp thu được.",0,0,0,True
132,"Nhìn chung, giáo viên thiếu nhiệt tình, rõ ràng không muốn dạy và không đầu tư vào việc giảng.",0,0,0,True
1195,Tôi cực kỳ hài lòng với môn học này và cảm thấy mình đã đầu tư đúng chỗ Hy vọng môn học sẽ tốt hơn trong tương lai.,2,2,2,True
2086,"Nhìn chung, bài giảng thiếu chiều sâu, chỉ dừng lại ở mức độ giới thiệu mà không đi vào chi tiết Hy vọng môn học sẽ tốt hơn trong tương lai.",0,0,0,True
1876,"Theo tôi, môn học có nội dung hay và kiến thức thực sự có thể áp dụng được.",2,2,2,True
1706,"Theo tôi, cô giáo không thể hiện được sự titrọng với sinh viên và nghề nghiệp của mình Tôi sẽ giới thiệu cho bạn bè.",0,0,0,True
2045,"Theo tôi, thầy có thể cải thiện việc tương tác với sinh viên nhiều hơn trong lớp học Hy vọng môn học sẽ tốt hơn trong tương lai.",1,1,1,True
1281,Tôi đã kỳ vọng nhiều hơn nhưng kết quả thực sự là một sự thất vọng lớn.,0,0,0,True
1538,"Nhìn chung, tôi cực kỳ thất vọng và không khuyến nghị bất kỳ ai đăng ký môn này.",0,0,1,False
2000,Tôi không hài lòng chút nào với cách tổ chức và giảng dạy môn học này Mong thầy cô tiếp tục phát huy.,0,0,1,False
261,"Sau khi hoàn thành môn học, giáo viên giảng đủ, không quá nhiệt tình nhưng cũng không tệ Tôi sẽ giới thiệu cho bạn bè.",1,1,1,True
862,"Thầy giảng quá nhanh, sinh viên không kịp ghi chép và không hiểu bài.",0,0,0,True
1148,"Giáo viên giảng đủ, không quá nhiệt tình nhưng cũng không tệ Hy vọng môn học sẽ tốt hơn trong tương lai.",1,1,1,True
923,"Nhìn chung, cô giáo giảng ổn, tài liệu học tập đầy đủ nhưng thiếu bài tập thực tế Hy vọng môn học sẽ tốt hơn trong tương lai.",1,1,1,True
1504,"Tôi nghĩ rằng cô và lớp học ổn, không có gì phàn nàn hay khen ngợi đặc biệt.",1,1,1,True
86,"Theo ý kiến cá nhân tôi, môn học cung cấp kiến thức cập nhật và phù hợp với nhu cầu ngành nghề.",2,2,2,True
653,Thầy luôn khuyến khích sự sáng tạo và tư duy phản biện trong quá trình học Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.,2,2,1,False
560,"Theo tôi, cô chia sẻ kinh nghiệm thực tế quý báu, giúp sinh viên chuẩn bị tốt cho tương lai Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",2,2,2,True
596,"Sau khi hoàn thành môn học, đây là môn học tôi tâm đắc nhất trong năm học, xứng đáng 5 sao.",2,2,2,True
564,Tôi nghĩ rằng tôi rất thích cách thầy kết hợp lý thuyết với các bài tập thực hành.,2,2,2,True
208,"Nhìn chung, giáo viên luôn chuẩn bị bài kỹ càng và có tâm trong từng buổi giảng Tôi sẽ giới thiệu cho bạn bè.",2,2,2,True
1518,"Sau khi hoàn thành môn học, tài liệu tham khảo phong phú và được cập nhật thường xuyên theo xu hướng mới Mong thầy cô tiếp tục phát huy.",2,2,2,True
1794,"Theo ý kiến cá nhân tôi, tôi đặc biệt thích phần thảo luận nhóm, giúp hiểu bài sâu hơn và phát triển kỹ năng Tôi sẽ giới thiệu cho bạn bè.",2,2,2,True
982,"Trong học kỳ vừa qua, bài giảng được thiết kế khoa học với nhiều case study thực tế rất thú vị Tôi đã học được nhiều điều từ trải nghiệm này.",2,2,2,True
741,"Theo tôi, môn học không có liên kết gì với thực tế, kiến thức học xong cũng không biết dùng vào đâu Tôi sẽ giới thiệu cho bạn bè.",0,0,0,True
352,"Theo tôi, tôi cực kỳ hài lòng với môn học này và cảm thấy mình đã đầu tư đúng chỗ.",2,2,2,True
16,"Sau khi hoàn thành môn học, tôi thấy môn học có điểm hay nhưng cũng có những điểm cần cải thiện.",1,1,1,True
1339,"Theo tôi, môn học có chất lượng trung bình, không quá tốt cũng không quá kém Mong thầy cô tiếp tục phát huy.",1,1,0,False
1127,Tôi thấy môn học bình thường theo nghĩa không có điểm mạnh hay điểm yếu nổi bật.,1,1,1,True
146,"Nhìn chung, tôi không cảm thấy được hỗ trợ hay định hướng gì từ giáo viên trong suốt học kỳ Hy vọng môn học sẽ tốt hơn trong tương lai.",0,0,0,True
725,Tôi nghĩ rằng tôi đã kỳ vọng nhiều hơn nhưng kết quả thực sự là một sự thất vọng lớn Tôi đã học được nhiều điều từ trải nghiệm này.,0,0,0,True
136,"Theo ý kiến cá nhân tôi, môn học có nội dung nghèo nàn và hình thức tổ chức kém chuyên nghiệp Tôi sẽ giới thiệu cho bạn bè.",0,0,0,True
1254,"Nhìn chung, môn học không có liên kết gì với thực tế, kiến thức học xong cũng không biết dùng vào đâu.",0,0,0,True
1595,"Theo tôi, nội dung môn học quá khó so với trình độ của sinh viên mà thiếu cơ sở tiền đề Mong thầy cô tiếp tục phát huy.",0,0,0,True
769,"Trong học kỳ vừa qua, bài giảng đủ để hiểu bài, nhưng không có gì thực sự khiến sinh viên nhớ mãi.",1,1,1,True
1660,"Nhìn chung, thầy thỉnh thoảng đi sâu vào chi tiết không cần thiết, làm loãng trọng tâm bài Tôi đã học được nhiều điều từ trải nghiệm này.",1,1,1,True
1893,"Theo tôi, cô tổ chức lớp học rất tốt, tạo điều kiện để tất cả sinh viên đều có thể tham gia Mong thầy cô tiếp tục phát huy.",2,2,2,True
219,"Nhìn chung, phong cách giảng dạy linh hoạt của thầy giúp tôi học tốt hơn và yêu thích môn học Hy vọng môn học sẽ tốt hơn trong tương lai.",2,2,2,True
530,"Theo ý kiến cá nhân tôi, giáo viên không cập nhật kiến thức, chia sẻ thông tin đã lỗi thời nhiều năm Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",0,0,0,True
1529,"Qua quá trình học, tôi không có nhiều cảm xúc rõ ràng về môn học này, nó bình thường.",1,1,1,True
541,"Giáo viên không hỗ trợ sinh viên khi gặp khó khăn, khó tiếp cận ngoài giờ học Mong thầy cô tiếp tục phát huy.",0,0,0,True
1468,"Theo ý kiến cá nhân tôi, cô rất kiên nhẫn với những sinh viên học chậm, không bỏ lại ai phía sau Mong thầy cô tiếp tục phát huy.",2,2,1,False
519,"Thầy giảng tương đối ổn, có lúc hay có lúc chưa hay tùy buổi Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",1,1,1,True
1796,"Trong học kỳ vừa qua, cô giáo hay nghỉ dạy mà không có giáo viên thay thế, gây xáo trộn tiến độ học Tôi đã học được nhiều điều từ trải nghiệm này.",0,0,1,False
858,"Nội dung môn học hợp lý, cần bổ sung thêm phần thực hành để cân đối.",1,1,1,True
1089,"Giáo viên giảng đủ giờ và đúng lịch, nội dung bám sát đề cương đã đề ra Tôi đã học được nhiều điều từ trải nghiệm này.",1,1,1,True
329,"Trong học kỳ vừa qua, thầy dạy rất hay, sinh viên dễ dàng nắm bắt kiến thức và không cảm thấy nhàm chán Tôi sẽ giới thiệu cho bạn bè.",2,2,2,True
1779,"Theo tôi, nội dung được trình bày rõ ràng, có cấu trúc hợp lý và dễ theo dõi.",2,2,2,True
1684,"Qua quá trình học, cô thiếu trách nhiệm với công việc giảng dạy và không quan tâm đến kết quả học tập Tôi sẽ giới thiệu cho bạn bè.",0,0,0,True
1951,"Nhìn chung, thầy dạy không có tâm, rõ ràng chỉ đến cho có mà không quan tâm đến việc giảng.",0,0,0,True
1726,"Theo tôi, cô giáo không thể hiện được sự titrọng với sinh viên và nghề nghiệp của mình Tôi đã học được nhiều điều từ trải nghiệm này.",0,0,0,True
522,"Theo tôi, thầy giải thích các khái niệm phức tạp một cách đơn giản và trực quan Mong thầy cô tiếp tục phát huy.",2,2,2,True
638,"Tôi học được điều cần thiết cho kỳ thi, nhưng không chắc sẽ nhớ mãi Mong thầy cô tiếp tục phát huy.",1,1,0,False
898,"Tôi học được những điều tối thiểu cần biết từ môn này, không nhiều không ít Mong thầy cô tiếp tục phát huy.",1,1,1,True
722,"Cách cô giải thích các khái niệm khó rất dễ hiểu, tôi tiếp thu nhanh hơn nhiều Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",2,2,2,True
15,"Tôi nghĩ rằng giáo viên giỏi chuyên môn, có kỹ năng sư phạm xuất sắc và tâm huyết với nghề Cần cải thiện thêm để đáp ứng nhu cầu của sinh viên.",2,2,2,True
63,"Thầy có kiến thức tốt nhưng đôi khi giảng hơi nhanh, sinh viên khó theo kịp Mong thầy cô tiếp tục phát huy.",1,1,1,True
2099,"Nhìn chung, tôi không hài lòng chút nào với cách tổ chức và giảng dạy môn học này Mong thầy cô tiếp tục phát huy.",0,0,0,True
953,"Bài giảng đủ thông tin cơ bản, không xuất sắc nhưng cũng không tệ.",1,1,1,True
1495,"Theo tôi, nội dung cũ kỹ và lạc hậu, không phù hợp với yêu cầu thực tế của thị trường Tôi sẽ giới thiệu cho bạn bè.",0,0,0,True
852,"Nhìn chung, phong cách giảng dạy linh hoạt của thầy giúp tôi học tốt hơn và yêu thích môn học.",2,2,2,True
1031,"Tôi học được những điều tối thiểu cần biết từ môn này, không nhiều không ít.",1,1,1,True
700,Tôi nghĩ rằng giáo viên luôn chuẩn bị bài kỹ càng và có tâm trong từng buổi giảng Tôi đã học được nhiều điều từ trải nghiệm này.,2,2,2,True
44,"Thầy không giao đủ bài tập thực hành, sinh viên không có cơ hội luyện tập kỹ năng Mong thầy cô tiếp tục phát huy.",0,0,0,True
1052,Bài giảng được thiết kế khoa học với nhiều case study thực tế rất thú vị Tôi đã học được nhiều điều từ trải nghiệm này.,2,2,0,False
